,alias,GAMMA_C4H8_Aspen,GAMMA_C4H6_Aspen,S_Aspen,VP_Aspen,GAMMA_Solvent,Alpha_Aspen,MW_Aspen,RHO_Aspen,CPMX_Aspen,MUMX_Aspen,set
248,C8H19N-D1,0.821172158,0.866323837,0.947881292,0.968634255,0.789600779,2.503249333,129.2456,743.411569,235.581189,0.724124007,train
250,C7H12O2-D2,1.00518125,0.863486012,1.164096738,0.942340804,0.744994609,2.53903064,128.17108,885.005184,233.120072,0.763022135,train
251,C8H14O2-D4,0.884311654,0.793839076,1.113968411,0.978112755,0.639819748,2.55242237,142.19796,872.123353,264.987614,0.746857173,train
255,C11H20O2,0.716616179,0.663787431,1.079586846,0.023913818,0.419706403,4.269570978,184.2786,881.051847,308.912275,1.5609394,train
258,C10H14-D2,0.88877022,0.896506472,0.991370668,0.140493037,0.909727721,3.29512366,134.22116,875.98437,237.840914,1.14264648,train
263,C12H24O2-E1,0.68130684,0.673673577,1.011330804,0.001553301,0.428707287,5.45416947,200.32136,860.979305,393.285051,2.47090885,train
274,C8H16O,0.945409003,0.855503806,1.105090353,0.275315835,0.826950356,3.024047777,128.21444,815.811403,245.391795,0.991216731,train
275,C4H6O-D1,2.10550881,1.33048501,1.582512237,4.70018384,1.79806297,1.646226704,70.09104,848.553362,165.862688,0.428075863,train
279,C7H16S,0.7936683,0.751693507,1.055840303,0.17653426,0.644691881,3.268996057,132.27004,838.89006,252.371563,0.87327797,test
280,C5H12S,0.892316762,0.7989293,1.116890771,1.83972429,0.751173258,2.211151948,104.21628,836.723,197.424868,0.605263045,train
282,C12H20O,0.847504114,0.806469775,1.050881434,0.000363669,0.709057163,5.944336533,180.2902,988.300028,412.977047,1.53164461,train
283,C10H12-D1,0.975035057,0.9418707,1.035211157,0.11308071,0.975984192,3.380296437,132.20528,902.352855,221.673671,1.14257238,train
284,C9H10-E3,1.05488849,0.970329282,1.087144859,0.246693212,1.02125385,3.034764691,118.1784,907.810518,207.276705,0.880099395,train
285,C9H10-E2,1.05488849,0.970329282,1.087144859,0.253043552,1.02125385,3.023726616,118.1784,907.586307,194.487315,0.799490503,test
289,C10H22S,0.679854234,0.67949136,1.000534038,0.006088449,0.487018302,4.809268416,174.35068,840.566904,331.981614,1.54649078,train
294,C7H14O2-D8,1.07460906,0.992702722,1.082508425,0.355886732,1.06128541,2.868811682,130.18696,875.927515,241.069354,0.947936635,train
295,C10H20O2-D2,0.774870685,0.744008542,1.041480899,0.045037809,0.556822127,3.921420643,172.2676,868.987891,340.594826,1.42455834,train
296,C4H6CL2-E2,1.33839008,0.941842913,1.421033233,2.38727015,0.925729377,2.078729321,124.99704,1146.0813,186.982889,0.888197079,train
302,C6H10-E6,0.961322061,1.00026294,0.961069357,10.6731779,1.07651467,1.388936938,82.1454,726.991951,186.991863,0.398016227,train
303,C4H12SIO2,1.09238779,0.966703954,1.130012746,11.3677047,1.06754772,1.350369874,120.22358,857.707847,210.504527,0.358243178,test
306,C11H22O2,0.72422165,0.706434304,1.025179052,0.006662662,0.488521414,4.785676871,186.29448,861.389526,366.277088,1.57491275,train
313,C4H6O-D5,2.10550881,1.33048501,1.582512237,7.86264957,1.79806297,1.422772629,70.09104,816.252517,151.559211,0.357624191,train
314,C8H16O-D5,0.945409003,0.855503806,1.105090353,0.261127142,0.826950356,3.047026952,128.21444,815.624417,273.417871,1.01843097,train
