,Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
284,318,8,1.4,5.0,7,0.98108858,19225.5061,False
285,319,8,1.4,5.0,8,0.9729713959999999,19725.4378,False
286,320,8,1.4,5.5,1,0.99483175,9287.56507,False
287,321,8,1.4,5.5,2,0.994453603,13965.1172,False
288,322,8,1.4,5.5,3,0.9938221559999999,17333.315,False
289,323,8,1.4,5.5,4,0.9922339579999999,18049.3942,False
290,324,8,1.4,5.5,5,0.989712378,19069.1269,False
291,325,8,1.4,5.5,6,0.98569394,19862.0436,False
292,326,8,1.4,5.5,7,0.979865152,20577.1952,False
293,327,8,1.4,5.5,8,0.9720871090000001,21259.2,False
294,328,8,1.4,6.0,1,0.994769591,9478.99195,False
295,330,8,1.4,6.0,3,0.993477855,17905.6404,False
296,331,8,1.4,6.0,4,0.991577835,18803.2491,False
297,332,8,1.4,6.0,5,0.988710871,19999.9306,False
298,333,8,1.4,6.0,6,0.984367797,20965.9961,False
299,334,8,1.4,6.0,7,0.978373773,21853.0219,False
300,335,8,1.4,6.0,8,0.9707253440000001,22707.4417,False
301,336,8,1.6,3.5,1,0.9949725840000001,8681.28615,False
302,337,8,1.6,3.5,2,0.99490042,12428.2943,False
303,338,8,1.6,3.5,3,0.994755182,14893.7702,False
304,339,8,1.6,3.5,4,0.994283624,14733.1798,False
305,340,8,1.6,3.5,5,0.993276078,14914.913,False
306,341,8,1.6,3.5,6,0.9910485720000001,14900.1975,False
307,343,8,1.6,3.5,8,0.977654597,14738.0357,False
308,344,8,1.6,4.0,1,0.99495316,8923.43983,False
309,345,8,1.6,4.0,2,0.994833472,12932.2312,False
310,346,8,1.6,4.0,3,0.994606549,15656.3704,False
311,347,8,1.6,4.0,4,0.993933272,15748.165,False
312,349,8,1.6,4.0,6,0.990149398,16376.6183,False
313,350,8,1.6,4.0,7,0.985662822,16524.3307,False
314,351,8,1.6,4.0,8,0.9782808829999999,16643.3914,False
315,352,8,1.6,4.5,1,0.994928742,9146.21243,False
316,353,8,1.6,4.5,2,0.994755257,13392.5422,False
317,354,8,1.6,4.5,3,0.9944431340000001,16348.1585,False
318,356,8,1.6,4.5,5,0.99207418,17299.252,False
319,357,8,1.6,4.5,6,0.989383128,17719.3854,False
320,358,8,1.6,4.5,7,0.9849944709999999,18072.1928,False
321,359,8,1.6,4.5,8,0.978380299,18395.7508,False
322,360,8,1.6,5.0,1,0.99489649,9354.53427,False
323,361,8,1.6,5.0,2,0.994654652,13822.3344,False
324,363,8,1.6,5.0,4,0.993167771,17517.8903,False
325,364,8,1.6,5.0,5,0.99140197,18354.5997,False
326,365,8,1.6,5.0,6,0.988470726,18971.0142,False
327,366,8,1.6,5.0,7,0.98401291,19515.5807,False
328,367,8,1.6,5.0,8,0.977740611,20030.9099,False
329,368,8,1.6,5.5,1,0.9948544640000001,9551.414859999999,False
330,369,8,1.6,5.5,2,0.9945282790000001,14227.312,False
331,371,8,1.6,5.5,4,0.992675202,18317.7412,False
332,372,8,1.6,5.5,5,0.990625836,19343.4649,False
333,373,8,1.6,5.5,6,0.9874109879999999,20144.2961,False
334,374,8,1.6,5.5,7,0.982795203,20870.8366,False
335,375,8,1.6,5.5,8,0.97663185,21567.8394,False
336,376,8,1.6,6.0,1,0.9947999,9739.54791,False
337,378,8,1.6,6.0,3,0.993687781,18169.978,False
338,379,8,1.6,6.0,4,0.992100868,19071.8671,False
339,380,8,1.6,6.0,5,0.989739265,20275.8191,False
340,381,8,1.6,6.0,6,0.986206253,21251.5264,False
341,382,8,1.6,6.0,7,0.9813601040000001,22150.2402,False
342,383,8,1.6,6.0,8,0.975162702,23019.2176,False
343,384,8,1.8,3.5,1,0.9949761490000001,8962.055540000001,False
344,385,8,1.8,3.5,2,0.994913843,12705.9538,False
345,386,8,1.8,3.5,3,0.994790645,15168.2026,False
346,387,8,1.8,3.5,4,0.994407498,15003.4565,False
347,388,8,1.8,3.5,5,0.9936210329999999,15183.0781,False
348,389,8,1.8,3.5,6,0.9919619709999999,15167.1793,False
349,390,8,1.8,3.5,7,0.988664655,15103.0634,False
350,392,8,1.8,4.0,1,0.9949591459999999,9199.686520000001,False
351,393,8,1.8,4.0,2,0.9948555170000001,13205.0971,False
352,394,8,1.8,4.0,3,0.994661302,15927.3492,False
353,395,8,1.8,4.0,4,0.9941061520000001,16016.9576,False
354,397,8,1.8,4.0,6,0.99113944,16649.361,False
355,398,8,1.8,4.0,7,0.987749897,16802.8379,False
356,399,8,1.8,4.0,8,0.98225819,16934.7411,False
357,400,8,1.8,4.5,1,0.9949376609999999,9418.37255,False
358,401,8,1.8,4.5,2,0.9947866740000001,13661.703000000001,False
359,402,8,1.8,4.5,3,0.9945184579999999,16617.0573,False
360,404,8,1.8,4.5,5,0.992573716,17571.558999999997,False
361,405,8,1.8,4.5,6,0.990433783,17995.5608,False
362,406,8,1.8,4.5,7,0.9870038870000001,18354.6899,False
363,407,8,1.8,4.5,8,0.981891152,18688.8965,False
364,408,8,1.8,5.0,1,0.994909094,9622.89413,False
365,409,8,1.8,5.0,2,0.99469783,14088.1078,False
366,411,8,1.8,5.0,4,0.9934380279999999,17787.0595,False
367,412,8,1.8,5.0,5,0.991979298,18627.1482,False
368,413,8,1.8,5.0,6,0.9896022590000001,19249.5558,False
369,414,8,1.8,5.0,7,0.986034333,19802.15,False
370,415,8,1.8,5.0,8,0.981044212,20329.213,False
371,416,8,1.8,5.5,1,0.9948719970000001,9816.1258,False
372,417,8,1.8,5.5,2,0.994585858,14490.1027,False
373,418,8,1.8,5.5,3,0.994116818,17863.2499,False
374,419,8,1.8,5.5,4,0.9930031020000001,18586.0346,False
375,420,8,1.8,5.5,5,0.991291267,19617.3589,False
376,421,8,1.8,5.5,6,0.9886416929999999,20425.2486,False
377,422,8,1.8,5.5,7,0.984871015,21160.8979,False
378,423,8,1.8,5.5,8,0.979854665,21869.3521,False
379,424,8,1.8,6.0,1,0.994823462,10000.7088,False
380,426,8,1.8,6.0,3,0.993848783,18433.4225,False
381,427,8,1.8,6.0,4,0.992494877,19340.8259,False
382,428,8,1.8,6.0,5,0.9905011570000001,20551.0299,False
383,429,8,1.8,6.0,6,0.987548958,21534.01,False
384,430,8,1.8,6.0,7,0.983525132,22443.0688,False
385,431,8,1.8,6.0,8,0.9783823,23323.4193,False
386,432,8,2.0,3.5,1,0.9949789490000001,9243.113609999999,False
387,433,8,2.0,3.5,2,0.9949242890000001,12984.4566,False
388,434,8,2.0,3.5,3,0.994817774,15443.6785,False
389,435,8,2.0,3.5,4,0.994498581,15275.3425,False
390,436,8,2.0,3.5,5,0.993862995,15453.5538,False
391,438,8,2.0,3.5,7,0.990089105,15371.3312,False
392,439,8,2.0,3.5,8,0.985599308,15297.2867,False
393,440,8,2.0,4.0,1,0.994963862,9476.331320000001,False
394,441,8,2.0,4.0,2,0.9948727390000001,13478.9611,False
395,442,8,2.0,4.0,3,0.994703619,16199.1485,False
396,443,8,2.0,4.0,4,0.9942360570000001,16288.4195,False
397,445,8,2.0,4.0,6,0.991828961,16923.6738,False
398,446,8,2.0,4.0,7,0.9891694320000001,17080.7287,False
399,447,8,2.0,4.0,8,0.9849208770000001,17220.9735,False
400,448,8,2.0,4.5,1,0.994944699,9690.96614,False
401,449,8,2.0,4.5,2,0.994811408,13931.5501,False
402,450,8,2.0,4.5,3,0.994576655,16886.3774,False
403,452,8,2.0,4.5,5,0.99294096,17843.7459,False
404,453,8,2.0,4.5,6,0.9911866909999999,18271.6058,False
405,454,8,2.0,4.5,7,0.988420702,18636.2412,False
406,455,8,2.0,4.5,8,0.98434283,18979.9364,False
407,456,8,2.0,5.0,1,0.994919103,9891.73136,False
408,457,8,2.0,5.0,2,0.99473201,14355.045,False
409,459,8,2.0,5.0,4,0.9936447270000001,18055.9436,False
410,460,8,2.0,5.0,5,0.9924118670000001,18899.9872,False
411,461,8,2.0,5.0,6,0.99043188,19527.3831,False
412,462,8,2.0,5.0,7,0.98749515,20087.0478,False
413,463,8,2.0,5.0,8,0.9834166109999999,20622.6423,False
414,464,8,2.0,5.5,1,0.994886009,10081.2727,False
415,465,8,2.0,5.5,2,0.99463145,14753.9699,False
416,466,8,2.0,5.5,3,0.994217641,18129.0099,False
417,467,8,2.0,5.5,4,0.993256954,18854.8413,False
418,468,8,2.0,5.5,5,0.991795945,19891.0148,False
419,469,8,2.0,5.5,6,0.9895601959999999,20705.3857,False
420,470,8,2.0,5.5,7,0.9864045159999999,21448.2499,False
421,471,8,2.0,5.5,8,0.9822215479999999,22165.5436,False
422,472,8,2.0,6.0,1,0.994842322,10262.6567,False
423,474,8,2.0,6.0,3,0.993976486,18697.3567,False
424,475,8,2.0,6.0,4,0.9928011959999999,19609.4633,False
425,476,8,2.0,6.0,5,0.991085051,20825.3507,False
426,477,8,2.0,6.0,6,0.9885674409999999,21815.6156,False
427,478,8,2.0,6.0,7,0.9851529920000001,22732.7929,False
428,479,8,2.0,6.0,8,0.98080274,23622.8475,False
429,483,10,0.2,3.5,4,0.960969759,12831.0785,False
430,484,10,0.2,3.5,5,0.907410451,12461.0144,False
431,487,10,0.2,3.5,8,0.7192281690000001,9855.20796,False
432,493,10,0.2,4.0,6,0.862609748,13424.9434,False
433,494,10,0.2,4.0,7,0.8053528590000001,12891.9934,False
434,495,10,0.2,4.0,8,0.750772775,12345.0577,False
435,500,10,0.2,4.5,5,0.926524405,15053.113000000001,False
436,501,10,0.2,4.5,6,0.876946962,14965.5442,False
437,502,10,0.2,4.5,7,0.8253308659999999,14751.6137,False
438,503,10,0.2,4.5,8,0.775938675,14518.7773,False
439,507,10,0.2,5.0,4,0.9692078740000001,15606.0394,False
440,508,10,0.2,5.0,5,0.932705825,16157.7233,False
