Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
364,40,8,5,5,0.983207312,40115.5634,FALSE
365,40,8,5,6,0.987598188,47714.7232,FALSE
366,40,8,5,7,0.9902784,55317.731,FALSE
367,40,8,5,8,0.992023323,62906.3894,FALSE
368,40,8,5.5,1,0.829710586,14468.2113,FALSE
369,40,8,5.5,2,0.918684267,18718.8997,FALSE
370,40,8,5.5,3,0.956225768,26209.6863,FALSE
371,40,8,5.5,4,0.973099982,33760.0235,FALSE
372,40,8,5.5,5,0.981537079,41521.4545,FALSE
373,40,8,5.5,6,0.986240201,49309.5878,FALSE
374,40,8,5.5,7,0.989124602,57089.9806,FALSE
375,40,8,5.5,8,0.991016903,64856.9471,FALSE
376,40,8,6,1,0.825700802,14543.7014,FALSE
377,40,8,6,2,0.914858678,19286.9792,FALSE
378,40,8,6,3,0.953316609,27068.2408,FALSE
379,40,8,6,4,0.970872216,34861.4261,FALSE
380,40,8,6,5,0.979757884,42809.8585,FALSE
381,40,8,6,6,0.984783997,50771.2382,FALSE
382,40,8,6,7,0.987877553,58722.0074,FALSE
383,40,8,6,8,0.98992614,66659.527,FALSE
384,40,9,3.5,1,0.847215087,15546.592,FALSE
385,40,9,3.5,2,0.933098703,18463.0988,FALSE
386,40,9,3.5,3,0.966738263,22687.2145,FALSE
387,40,9,3.5,4,0.980666557,29608.0282,FALSE
388,40,9,3.5,5,0.98740466,36295.0765,FALSE
389,40,9,3.5,6,0.990991918,43194.9348,FALSE
390,40,9,3.5,7,0.99312085,50150.3898,FALSE
391,40,9,3.5,8,0.994479015,57119.2356,FALSE
392,40,9,4,1,0.843292631,15605.62,FALSE
393,40,9,4,2,0.929455903,18834.2035,FALSE
394,40,9,4,3,0.963999253,23662.8702,FALSE
395,40,9,4,4,0.978758133,31177.3497,FALSE
396,40,9,4,5,0.985940695,38208.6036,FALSE
397,40,9,4,6,0.989836837,45364.304,FALSE
398,40,9,4,7,0.992159108,52568.069,FALSE
399,40,9,4,8,0.993664869,59759.5653,FALSE
400,40,9,4.5,1,0.839283338,15664.1663,FALSE
401,40,9,4.5,2,0.925751273,19209.2461,FALSE
402,40,9,4.5,3,0.961043672,25732.5091,FALSE
403,40,9,4.5,4,0.97672593,32607.6154,FALSE
404,40,9,4.5,5,0.984377968,39905.1855,FALSE
405,40,9,4.5,6,0.988586515,47296.2996,FALSE
406,40,9,4.5,7,0.991127626,54707.3553,FALSE
407,40,9,4.5,8,0.99277411,62107.6693,FALSE
408,40,9,5,1,0.835224319,15722.4923,FALSE
409,40,9,5,2,0.921993377,19598.6017,FALSE
410,40,9,5,3,0.95828593,26627.2882,FALSE
411,40,9,5,4,0.974590679,33893.4263,FALSE
412,40,9,5,5,0.982725797,41433.6474,FALSE
413,40,9,5,6,0.987239999,49039.6723,FALSE
414,40,9,5,7,0.990001503,56641.1358,FALSE
415,40,9,5,8,0.991797622,64231.0036,FALSE
416,40,9,5.5,1,0.831146294,15781.1295,FALSE
417,40,9,5.5,2,0.918182072,20027.3406,FALSE
418,40,9,5.5,3,0.955391189,27514.6929,FALSE
419,40,9,5.5,4,0.972390222,35067.903,FALSE
420,40,9,5.5,5,0.981000272,42824.8744,FALSE
421,40,9,5.5,6,0.985826608,50616.8575,FALSE
